Name,Name_tag,ID,Position
Kylian Mbappé,kylian-mbappe,342229,Centre-Forward
Neymar,neymar,68290,Left Winger
Raheem Sterling,raheem-sterling,134425,Left Winger
Sadio Mané,sadio-mane,200512,Left Winger
Mohamed Salah,mohamed-salah,148455,Right Winger
Harry Kane,harry-kane,132098,Centre-Forward
Eden Hazard,eden-hazard,50202,Left Winger
Lionel Messi,lionel-messi,28003,Right Winger
Antoine Griezmann,antoine-griezmann,125781,Centre-Forward
João Félix,joao-felix,462250,Second Striker
Jadon Sancho,jadon-sancho,401173,Right Winger
Ousmane Dembélé,ousmane-dembele,288230,Left Winger
Bernardo Silva,bernardo-silva,241641,Right Winger
Leroy Sané,leroy-sane,192565,Left Winger
Roberto Firmino,roberto-firmino,131789,Centre-Forward
Paulo Dybala,paulo-dybala,206050,Second Striker
Lautaro Martínez,lautaro-martinez,406625,Centre-Forward
Marcus Rashford,marcus-rashford,258923,Centre-Forward
Heung-min Son,heung-min-son,91845,Left Winger
Romelu Lukaku,romelu-lukaku,96341,Centre-Forward
Mauro Icardi,mauro-icardi,68863,Centre-Forward
Cristiano Ronaldo,cristiano-ronaldo,8198,Left Winger
Vinícius Júnior,vinicius-junior,371998,Left Winger
Gabriel Jesus,gabriel-jesus,363205,Centre-Forward
Alexandre Lacazette,alexandre-lacazette,93720,Centre-Forward
Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,58864,Centre-Forward
Nicolas Pépé,nicolas-pepe,343052,Right Winger
Timo Werner,timo-werner,170527,Centre-Forward
Robert Lewandowski,robert-lewandowski,38253,Centre-Forward
Sergio Agüero,sergio-aguero,26399,Centre-Forward
Richarlison,richarlison,378710,Left Winger
Mikel Oyarzabal,mikel-oyarzabal,351478,Left Winger
Federico Chiesa,federico-chiesa,341092,Right Winger
Christian Pulisic,christian-pulisic,315779,Right Winger
Marco Asensio,marco-asensio,296622,Left Winger
Luka Jovic,luka-jovic,257462,Centre-Forward
Kingsley Coman,kingsley-coman,243714,Left Winger
Anthony Martial,anthony-martial,182877,Left Winger
Riyad Mahrez,riyad-mahrez,171424,Right Winger
Serge Gnabry,serge-gnabry,159471,Right Winger
Lorenzo Insigne,lorenzo-insigne,133964,Left Winger
Gareth Bale,gareth-bale,39381,Right Winger
Wilfried Zaha,wilfried-zaha,145988,Right Winger
Tammy Abraham,tammy-abraham,331726,Centre-Forward
Iñaki Williams,inaki-williams,255508,Centre-Forward
Julian Brandt,julian-brandt,187492,Left Winger
Rodrigo,rodrigo,131505,Centre-Forward
Álvaro Morata,alvaro-morata,128223,Centre-Forward
Paco Alcácer,paco-alcacer,126716,Centre-Forward
Luis Suárez,luis-suarez,44352,Centre-Forward
David Neres,david-neres,469822,Right Winger
Florian Thauvin,florian-thauvin,184892,Right Winger
Sébastien Haller,sebastien-haller,181375,Centre-Forward
Memphis Depay,memphis-depay,167850,Left Winger
Felipe Anderson,felipe-anderson,159372,Left Winger
Ciro Immobile,ciro-immobile,105521,Centre-Forward
Duván Zapata,duvan-zapata,73794,Centre-Forward
Raúl Jiménez,raul-jimenez,206040,Centre-Forward
Rodrygo,rodrygo,412363,Right Winger
Maxi Gómez,maxi-gomez,396894,Centre-Forward
Leon Bailey,leon-bailey,387626,Left Winger
Malcom,malcom,323704,Right Winger
Hirving Lozano,hirving-lozano,316889,Left Winger
Gonçalo Guedes,goncalo-guedes,225122,Left Winger
Hakim Ziyech,hakim-ziyech,217111,Right Winger
Thomas Lemar,thomas-lemar,205562,Left Winger
Federico Bernardeschi,federico-bernardeschi,197300,Right Winger
Arkadiusz Milik,arkadiusz-milik,191891,Centre-Forward
Andrea Belotti,andrea-belotti,167727,Centre-Forward
Wissam Ben Yedder,wissam-ben-yedder,146854,Centre-Forward
Lucas Moura,lucas-moura,77100,Right Winger
Pablo Sarabia,pablo-sarabia,74230,Right Winger
Edinson Cavani,edinson-cavani,48280,Centre-Forward
Ángel Di María,angel-di-maria,45320,Right Winger
Karim Benzema,karim-benzema,18922,Centre-Forward
Joaquín Correa,joaquin-correa,227081,Second Striker
Thorgan Hazard,thorgan-hazard,102226,Left Winger
Douglas Costa,douglas-costa,75615,Right Winger
Andrej Kramaric,andrej-kramaric,46580,Centre-Forward
Callum Hudson-Odoi,callum-hudson-odoi,392768,Left Winger
Cengiz Ünder,cengiz-under,341647,Right Winger
Diogo Jota,diogo-jota,340950,Left Winger
Éverton,everton,321239,Left Winger
Steven Bergwijn,steven-bergwijn,284165,Left Winger
Ángel Correa,angel-correa,266807,Right Winger
Yussuf Poulsen,yussuf-poulsen,157635,Centre-Forward
Kevin Volland,kevin-volland,82009,Centre-Forward
Thomas Müller,thomas-muller,58358,Second Striker
Moise Kean,moise-kean,364135,Centre-Forward
Krzysztof Piatek,krzysztof-piatek,327757,Centre-Forward
Alex Iwobi,alex-iwobi,242631,Left Winger
Jesse Lingard,jesse-lingard,141660,Right Winger
Willian,willian,52769,Right Winger
Marko Arnautovic,marko-arnautovic,41384,Centre-Forward
Gonzalo Higuaín,gonzalo-higuain,39153,Centre-Forward
Erling Haaland,erling-haaland,418560,Centre-Forward
Samu Chukwueze,samu-chukwueze,401922,Right Winger
Wesley,wesley,381362,Centre-Forward
Joelinton,joelinton,333241,Centre-Forward
Moussa Marega,moussa-marega,283130,Second Striker
Santi Mina,santi-mina,255653,Centre-Forward
Ayoze Pérez,ayoze-perez,246968,Second Striker
Moussa Dembélé,moussa-dembele,229004,Centre-Forward
Ante Rebic,ante-rebic,187587,Second Striker
Alassane Plea,alassane-plea,167329,Centre-Forward
Ryan Fraser,ryan-fraser,146795,Left Winger
Callum Wilson,callum-wilson,123682,Centre-Forward
Willian José,willian-jose,122155,Centre-Forward
Suso,suso,111961,Right Winger
Marcel Sabitzer,marcel-sabitzer,106987,Right Winger
Daniel James,daniel-james,319301,Left Winger
Borja Iglesias,borja-iglesias,278359,Centre-Forward
Gelson Martins,gelson-martins,257448,Right Winger
Adama Traoré,adama-traore,204103,Right Winger
Matteo Politano,matteo-politano,165895,Right Winger
Yannick Carrasco,yannick-carrasco,140776,Left Winger
Ismaïla Sarr,ismaila-sarr,410225,Right Winger
Ansu Fati,ansu-fati,466810,Left Winger
Dejan Kulusevski,dejan-kulusevski,431755,Right Winger
Justin Kluivert,justin-kluivert,330659,Left Winger
Harry Wilson,harry-wilson,279455,Right Winger
Allan Saint-Maximin,allan-saint-maximin,272642,Left Winger
Keita Baldé,keita-balde,238752,Left Winger
Wout Weghorst,wout-weghorst,228645,Centre-Forward
Lucas Vázquez,lucas-vazquez,221316,Right Winger
Shoya Nakajima,shoya-nakajima,188911,Left Winger
Rony Lopes,rony-lopes,174694,Right Winger
Gerard Deulofeu,gerard-deulofeu,129476,Right Winger
Emil Forsberg,emil-forsberg,111078,Left Winger
Stephan El Shaarawy,stephan-el-shaarawy,94529,Left Winger
Iago Aspas,iago-aspas,72047,Centre-Forward
Dries Mertens,dries-mertens,56416,Centre-Forward
Aleksandar Mitrovic,aleksandar-mitrovic,51152,Centre-Forward
Diego Costa,diego-costa,44779,Centre-Forward
Alexis Sánchez,alexis-sanchez,40433,Left Winger
Dusan Tadic,dusan-tadic,36139,Left Winger
Domenico Berardi,domenico-berardi,177843,Right Winger
Ivan Perisic,ivan-perisic,42460,Left Winger
Gabriel Barbosa,gabriel-barbosa,244275,Centre-Forward
Jean-Philippe Mateta,jean-philippe-mateta,420002,Centre-Forward
Rafael Leão,rafael-leao,357164,Centre-Forward
Christian Kouamé,christian-kouame,337725,Centre-Forward
Dominic Calvert-Lewin,dominic-calvert-lewin,306024,Centre-Forward
Neal Maupay,neal-maupay,217115,Centre-Forward
André Silva,andre-silva,198008,Centre-Forward
Michy Batshuayi,michy-batshuayi,179184,Centre-Forward
Jesús Corona,jesus-corona,125165,Right Winger
Erik Lamela,erik-lamela,111630,Right Winger
Xherdan Shaqiri,xherdan-shaqiri,86792,Right Winger
Mario Götze,mario-gotze,74842,Centre-Forward
Yacine Brahimi,yacine-brahimi,60517,Left Winger
João Pedro,joao-pedro,626724,Centre-Forward
Antony,antony,602105,Right Winger
Dwight McNeil,dwight-mcneil,584769,Left Winger
Mason Greenwood,mason-greenwood,532826,Centre-Forward
Ademola Lookman,ademola-lookman,406040,Left Winger
Ferran Torres,ferran-torres,398184,Right Winger
Riccardo Orsolini,riccardo-orsolini,368482,Right Winger
Brais Méndez,brais-mendez,309110,Right Winger
Jonathan Bamba,jonathan-bamba,292818,Left Winger
Milot Rashica,milot-rashica,291739,Left Winger
Patrick Cutrone,patrick-cutrone,265078,Centre-Forward
Viktor Tsyhankov,viktor-tsyhankov,264372,Right Winger
Mariano Díaz,mariano-diaz,225020,Centre-Forward
Jamie Vardy,jamie-vardy,197838,Centre-Forward
Luca Waldschmidt,luca-waldschmidt,196095,Centre-Forward
Bernard,bernard,175169,Left Winger
Divock Origi,divock-origi,148368,Centre-Forward
Simone Verdi,simone-verdi,130360,Right Winger
Nathan Redmond,nathan-redmond,129078,Left Winger
Joshua King,joshua-king,91059,Second Striker
Luis Muriel,luis-muriel,119228,Centre-Forward
Gabriel Martinelli,gabriel-martinelli,655488,Centre-Forward
Donyell Malen,donyell-malen,326029,Centre-Forward
Emiliano Buendía,emiliano-buendia,321247,Right Winger
Dodi Lukebakio,dodi-lukebakio,303259,Right Winger
Demarai Gray,demarai-gray,292417,Left Winger
Kasper Dolberg,kasper-dolberg,283196,Centre-Forward
Andrea Petagna,andrea-petagna,199258,Centre-Forward
Quincy Promes,quincy-promes,182381,Left Winger
Raúl de Tomás,raul-de-tomas,162038,Second Striker
Danny Ings,danny-ings,134294,Centre-Forward
