,Name,Name_tag,ID,Position
0,Trent Alexander-Arnold,trent-alexander-arnold,314353,Right-Back
1,Virgil van Dijk,virgil-van-dijk,139208,Centre-Back
2,Andrew Robertson,andrew-robertson,234803,Left-Back
3,Matthijs de Ligt,matthijs-de-ligt,326031,Centre-Back
4,Aymeric Laporte,aymeric-laporte,176553,Centre-Back
5,Kalidou Koulibaly,kalidou-koulibaly,93128,Centre-Back
6,Lucas Hernández,lucas-hernandez,281963,Centre-Back
7,José Giménez,jose-gimenez,250845,Centre-Back
8,Harry Maguire,harry-maguire,177907,Centre-Back
9,Raphaël Varane,raphael-varane,164770,Centre-Back
10,Joshua Kimmich,joshua-kimmich,161056,Right-Back
11,Marquinhos,marquinhos,181767,Centre-Back
12,Davinson Sánchez,davinson-sanchez,341429,Centre-Back
13,Milan Skriniar,milan-skriniar,204069,Centre-Back
14,John Stones,john-stones,186590,Centre-Back
15,Clément Lenglet,clement-lenglet,182904,Centre-Back
16,Niklas Süle,niklas-sule,166601,Centre-Back
17,Stefan de Vrij,stefan-de-vrij,111196,Centre-Back
18,David Alaba,david-alaba,59016,Left-Back
19,Éder Militão,eder-militao,401530,Centre-Back
20,Ben Chilwell,ben-chilwell,316125,Left-Back
21,José Gayà,jose-gaya,221322,Left-Back
22,João Cancelo,joao-cancelo,182712,Right-Back
23,Daniel Carvajal,daniel-carvajal,138927,Right-Back
24,Kyle Walker,kyle-walker,95424,Right-Back
25,Antonio Rüdiger,antonio-rudiger,86202,Centre-Back
26,Alex Sandro,alex-sandro,79960,Left-Back
27,Jordi Alba,jordi-alba,69751,Left-Back
28,Ibrahima Konaté,ibrahima-konate,357119,Centre-Back
29,Alessio Romagnoli,alessio-romagnoli,197747,Centre-Back
30,Samuel Umtiti,samuel-umtiti,126540,Centre-Back
31,Aaron Wan-Bissaka,aaron-wan-bissaka,477758,Right-Back
32,Dayot Upamecano,dayot-upamecano,344695,Centre-Back
33,Caglar Söyüncü,caglar-soyuncu,320141,Centre-Back
34,Ferland Mendy,ferland-mendy,291417,Left-Back
35,Manuel Akanji,manuel-akanji,284730,Centre-Back
36,Nélson Semedo,nelson-semedo,231572,Right-Back
37,Ricardo Pereira,ricardo-pereira,215876,Right-Back
38,Jonathan Tah,jonathan-tah,196357,Centre-Back
39,Héctor Bellerín,hector-bellerin,191217,Right-Back
40,Konstantinos Manolas,konstantinos-manolas,104752,Centre-Back
41,Joel Matip,joel-matip,82105,Centre-Back
42,Benjamin Pavard,benjamin-pavard,353366,Centre-Back
43,Issa Diop,issa-diop,272622,Centre-Back
44,Joe Gomez,joe-gomez,256178,Centre-Back
45,Alex Telles,alex-telles,255755,Left-Back
46,Abdou Diallo,abdou-diallo,229005,Centre-Back
47,Thilo Kehrer,thilo-kehrer,228948,Centre-Back
48,Victor Lindelöf,victor-lindelof,184573,Centre-Back
49,Nathan Aké,nathan-ake,177476,Centre-Back
50,Kurt Zouma,kurt-zouma,157509,Centre-Back
51,Benjamin Mendy,benjamin-mendy,157495,Left-Back
52,Lucas Digne,lucas-digne,126664,Left-Back
53,Matthias Ginter,matthias-ginter,124502,Centre-Back
54,Stefan Savic,stefan-savic,107010,Centre-Back
55,Kieran Trippier,kieran-trippier,95810,Right-Back
56,Toby Alderweireld,toby-alderweireld,42710,Centre-Back
57,Mats Hummels,mats-hummels,39728,Centre-Back
58,Gerard Piqué,gerard-pique,18944,Centre-Back
59,Rúben Dias,ruben-dias,258004,Centre-Back
60,Alejandro Grimaldo,alejandro-grimaldo,193082,Left-Back
61,Iñigo Martínez,inigo-martinez,158863,Centre-Back
62,Nikola Milenkovic,nikola-milenkovic,413507,Centre-Back
63,Achraf Hakimi,achraf-hakimi,398073,Right-Back
64,Mouctar Diakhaby,mouctar-diakhaby,346289,Centre-Back
65,Presnel Kimpembe,presnel-kimpembe,282041,Centre-Back
66,Lukas Klostermann,lukas-klostermann,215599,Right-Back
67,Oleksandr Zinchenko,oleksandr-zinchenko,203853,Left-Back
68,Andreas Christensen,andreas-christensen,196948,Centre-Back
