,Name,Name_tag,ID,Position
0,Kylian Mbappé,kylian-mbappe,342229,Centre-Forward
1,Neymar,neymar,68290,Left Winger
2,Raheem Sterling,raheem-sterling,134425,Left Winger
3,Sadio Mané,sadio-mane,200512,Left Winger
4,Mohamed Salah,mohamed-salah,148455,Right Winger
5,Harry Kane,harry-kane,132098,Centre-Forward
6,Eden Hazard,eden-hazard,50202,Left Winger
7,Lionel Messi,lionel-messi,28003,Right Winger
8,Antoine Griezmann,antoine-griezmann,125781,Centre-Forward
9,João Félix,joao-felix,462250,Second Striker
10,Jadon Sancho,jadon-sancho,401173,Right Winger
11,Ousmane Dembélé,ousmane-dembele,288230,Left Winger
12,Bernardo Silva,bernardo-silva,241641,Right Winger
13,Leroy Sané,leroy-sane,192565,Left Winger
14,Roberto Firmino,roberto-firmino,131789,Centre-Forward
15,Paulo Dybala,paulo-dybala,206050,Second Striker
16,Lautaro Martínez,lautaro-martinez,406625,Centre-Forward
17,Marcus Rashford,marcus-rashford,258923,Centre-Forward
18,Heung-min Son,heung-min-son,91845,Left Winger
19,Romelu Lukaku,romelu-lukaku,96341,Centre-Forward
20,Mauro Icardi,mauro-icardi,68863,Centre-Forward
21,Cristiano Ronaldo,cristiano-ronaldo,8198,Left Winger
22,Vinícius Júnior,vinicius-junior,371998,Left Winger
23,Gabriel Jesus,gabriel-jesus,363205,Centre-Forward
24,Alexandre Lacazette,alexandre-lacazette,93720,Centre-Forward
25,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,58864,Centre-Forward
26,Nicolas Pépé,nicolas-pepe,343052,Right Winger
27,Timo Werner,timo-werner,170527,Centre-Forward
28,Robert Lewandowski,robert-lewandowski,38253,Centre-Forward
29,Sergio Agüero,sergio-aguero,26399,Centre-Forward
30,Richarlison,richarlison,378710,Left Winger
31,Mikel Oyarzabal,mikel-oyarzabal,351478,Left Winger
32,Federico Chiesa,federico-chiesa,341092,Right Winger
33,Christian Pulisic,christian-pulisic,315779,Right Winger
34,Marco Asensio,marco-asensio,296622,Left Winger
35,Luka Jovic,luka-jovic,257462,Centre-Forward
36,Kingsley Coman,kingsley-coman,243714,Left Winger
37,Anthony Martial,anthony-martial,182877,Left Winger
38,Riyad Mahrez,riyad-mahrez,171424,Right Winger
39,Serge Gnabry,serge-gnabry,159471,Right Winger
40,Lorenzo Insigne,lorenzo-insigne,133964,Left Winger
41,Gareth Bale,gareth-bale,39381,Right Winger
42,Wilfried Zaha,wilfried-zaha,145988,Right Winger
43,Tammy Abraham,tammy-abraham,331726,Centre-Forward
44,Iñaki Williams,inaki-williams,255508,Centre-Forward
45,Julian Brandt,julian-brandt,187492,Left Winger
46,Rodrigo,rodrigo,131505,Centre-Forward
47,Álvaro Morata,alvaro-morata,128223,Centre-Forward
48,Paco Alcácer,paco-alcacer,126716,Centre-Forward
49,Luis Suárez,luis-suarez,44352,Centre-Forward
50,David Neres,david-neres,469822,Right Winger
51,Florian Thauvin,florian-thauvin,184892,Right Winger
52,Sébastien Haller,sebastien-haller,181375,Centre-Forward
53,Memphis Depay,memphis-depay,167850,Left Winger
54,Felipe Anderson,felipe-anderson,159372,Left Winger
55,Ciro Immobile,ciro-immobile,105521,Centre-Forward
56,Duván Zapata,duvan-zapata,73794,Centre-Forward
57,Raúl Jiménez,raul-jimenez,206040,Centre-Forward
58,Rodrygo,rodrygo,412363,Right Winger
59,Maxi Gómez,maxi-gomez,396894,Centre-Forward
60,Leon Bailey,leon-bailey,387626,Left Winger
61,Malcom,malcom,323704,Right Winger
62,Hirving Lozano,hirving-lozano,316889,Left Winger
63,Gonçalo Guedes,goncalo-guedes,225122,Left Winger
64,Hakim Ziyech,hakim-ziyech,217111,Right Winger
65,Thomas Lemar,thomas-lemar,205562,Left Winger
66,Federico Bernardeschi,federico-bernardeschi,197300,Right Winger
67,Arkadiusz Milik,arkadiusz-milik,191891,Centre-Forward
68,Andrea Belotti,andrea-belotti,167727,Centre-Forward
69,Wissam Ben Yedder,wissam-ben-yedder,146854,Centre-Forward
70,Lucas Moura,lucas-moura,77100,Right Winger
71,Pablo Sarabia,pablo-sarabia,74230,Right Winger
72,Edinson Cavani,edinson-cavani,48280,Centre-Forward
73,Ángel Di María,angel-di-maria,45320,Right Winger
74,Karim Benzema,karim-benzema,18922,Centre-Forward
75,Joaquín Correa,joaquin-correa,227081,Second Striker
76,Thorgan Hazard,thorgan-hazard,102226,Left Winger
77,Douglas Costa,douglas-costa,75615,Right Winger
78,Andrej Kramaric,andrej-kramaric,46580,Centre-Forward
79,Callum Hudson-Odoi,callum-hudson-odoi,392768,Left Winger
80,Cengiz Ünder,cengiz-under,341647,Right Winger
81,Diogo Jota,diogo-jota,340950,Left Winger
82,Éverton,everton,321239,Left Winger
83,Steven Bergwijn,steven-bergwijn,284165,Left Winger
84,Ángel Correa,angel-correa,266807,Right Winger
85,Yussuf Poulsen,yussuf-poulsen,157635,Centre-Forward
86,Kevin Volland,kevin-volland,82009,Centre-Forward
87,Thomas Müller,thomas-muller,58358,Second Striker
88,Moise Kean,moise-kean,364135,Centre-Forward
89,Krzysztof Piatek,krzysztof-piatek,327757,Centre-Forward
90,Alex Iwobi,alex-iwobi,242631,Left Winger
91,Jesse Lingard,jesse-lingard,141660,Right Winger
92,Willian,willian,52769,Right Winger
93,Marko Arnautovic,marko-arnautovic,41384,Centre-Forward
94,Gonzalo Higuaín,gonzalo-higuain,39153,Centre-Forward
95,Erling Haaland,erling-haaland,418560,Centre-Forward
96,Samu Chukwueze,samu-chukwueze,401922,Right Winger
97,Wesley,wesley,381362,Centre-Forward
98,Joelinton,joelinton,333241,Centre-Forward
99,Moussa Marega,moussa-marega,283130,Second Striker
100,Santi Mina,santi-mina,255653,Centre-Forward
101,Ayoze Pérez,ayoze-perez,246968,Second Striker
102,Moussa Dembélé,moussa-dembele,229004,Centre-Forward
103,Ante Rebic,ante-rebic,187587,Second Striker
104,Alassane Plea,alassane-plea,167329,Centre-Forward
105,Ryan Fraser,ryan-fraser,146795,Left Winger
106,Callum Wilson,callum-wilson,123682,Centre-Forward
107,Willian José,willian-jose,122155,Centre-Forward
108,Suso,suso,111961,Right Winger
109,Marcel Sabitzer,marcel-sabitzer,106987,Right Winger
110,Daniel James,daniel-james,319301,Left Winger
111,Borja Iglesias,borja-iglesias,278359,Centre-Forward
