,Name,Name_tag,ID,Position
0,Jan Oblak,jan-oblak,121483,Goalkeeper
1,Alisson,alisson,105470,Goalkeeper
2,Marc-André ter Stegen,marc-andre-ter-stegen,74857,Goalkeeper
3,Ederson,ederson,238223,Goalkeeper
4,Kepa,kepa,192279,Goalkeeper
5,David de Gea,david-de-gea,59377,Goalkeeper
6,Gianluigi Donnarumma,gianluigi-donnarumma,315858,Goalkeeper
7,Thibaut Courtois,thibaut-courtois,108390,Goalkeeper
8,Alex Meret,alex-meret,240414,Goalkeeper
9,Wojciech Szczesny,wojciech-szczesny,44058,Goalkeeper
10,André Onana,andre-onana,234509,Goalkeeper
11,Jordan Pickford,jordan-pickford,130164,Goalkeeper
12,Bernd Leno,bernd-leno,72476,Goalkeeper
13,Thomas Strakosha,thomas-strakosha,222209,Goalkeeper
14,Anthony Lopes,anthony-lopes,60561,Goalkeeper
15,Pau López,pau-lopez,286415,Goalkeeper
16,Mike Maignan,mike-maignan,182906,Goalkeeper
17,Rui Patrício,rui-patricio,45026,Goalkeeper
18,Alessio Cragno,alessio-cragno,12907,Goalkeeper
19,Jasper Cillessen,jasper-cillessen,146227,Goalkeeper
20,Neto,neto,111819,Goalkeeper
21,Tomas Vaclik,tomas-vaclik,64000,Goalkeeper
22,Hugo Lloris,hugo-lloris,17965,Goalkeeper
23,Manuel Neuer,manuel-neuer,17259,Goalkeeper
24,Alphonse Areola,alphonse-areola,120629,Goalkeeper
25,Ionut Radu,ionut-radu,303657,Goalkeeper
26,Dean Henderson,dean-henderson,258919,Goalkeeper
27,Emil Audero,emil-audero,256339,Goalkeeper
28,Juan Musso,juan-musso,242359,Goalkeeper
29,David Soria,david-soria,226012,Goalkeeper
30,Fernando Pacheco,fernando-pacheco,172015,Goalkeeper
31,Bartlomiej Dragowski,bartlomiej-dragowski,208166,Goalkeeper
32,Benjamin Lecomte,benjamin-lecomte,127181,Goalkeeper
33,Roman Bürki,roman-burki,59027,Goalkeeper
34,Koen Casteels,koen-casteels,108880,Goalkeeper
35,Alban Lafont,alban-lafont,357117,Goalkeeper
36,Jiri Pavlenka,jiri-pavlenka,260053,Goalkeeper
37,Pierluigi Gollini,pierluigi-gollini,244192,Goalkeeper
38,Sergio Rico,sergio-rico,207302,Goalkeeper
39,Alexander Nübel,alexander-nubel,195778,Goalkeeper
40,Nick Pope,nick-pope,192080,Goalkeeper
41,Jack Butland,jack-butland,128899,Goalkeeper
42,Jeroen Zoet,jeroen-zoet,79045,Goalkeeper
43,Péter Gulácsi,peter-gulacsi,57071,Goalkeeper
44,Sergio Asenjo,sergio-asenjo,51710,Goalkeeper
45,Yann Sommer,yann-sommer,42205,Goalkeeper
46,Kasper Schmeichel,kasper-schmeichel,16911,Goalkeeper
47,Andrey Lunev,andrey-lunev,112541,Goalkeeper
48,Aaron Ramsdale,aaron-ramsdale,427568,Goalkeeper
49,Walter Benítez,walter-benitez,296802,Goalkeeper
50,Florian Müller,florian-muller,284769,Goalkeeper
51,Gerónimo Rulli,geronimo-rulli,229604,Goalkeeper
52,Mathew Ryan,mathew-ryan,128969,Goalkeeper
53,Odysseas Vlachodimos,odysseas-vlachodimos,124419,Goalkeeper
54,Mattia Perin,mattia-perin,110923,Goalkeeper
55,Esteban Andrada,esteban-andrada,105888,Goalkeeper
56,Marko Dmitrovic,marko-dmitrovic,94308,Goalkeeper
57,Keylor Navas,keylor-navas,79422,Goalkeeper
58,Simon Mignolet,simon-mignolet,50219,Goalkeeper
