,Name,Name_tag,ID,Position
0,Kevin De Bruyne,kevin-de-bruyne,88755,Attacking Midfield
1,N'Golo Kanté,ngolo-kante,225083,Central Midfield
2,Paul Pogba,paul-pogba,122153,Central Midfield
3,Kai Havertz,kai-havertz,309400,Attacking Midfield
4,Dele Alli,dele-alli,207929,Attacking Midfield
5,Saúl Ñíguez,saul-niguez,148928,Central Midfield
6,Philippe Coutinho,philippe-coutinho,80444,Attacking Midfield
7,Christian Eriksen,christian-eriksen,69633,Attacking Midfield
8,Frenkie de Jong,frenkie-de-jong,326330,Central Midfield
9,Rodri,rodri,357565,Defensive Midfield
10,Marco Verratti,marco-verratti,102558,Central Midfield
11,Arthur,arthur,362842,Central Midfield
12,Sergej Milinkovic-Savic,sergej-milinkovic-savic,266302,Central Midfield
13,Fabinho,fabinho,225693,Defensive Midfield
14,Koke,koke,74229,Right Midfield
15,Thiago,thiago,60444,Central Midfield
16,Miralem Pjanic,miralem-pjanic,44162,Central Midfield
17,Tanguy Ndombélé,tanguy-ndombele,450936,Central Midfield
18,Jorginho,jorginho,102017,Defensive Midfield
19,Fabián Ruiz,fabian-ruiz,350219,Central Midfield
20,James Maddison,james-maddison,294057,Attacking Midfield
21,Bruno Fernandes,bruno-fernandes,240306,Attacking Midfield
22,Nabil Fekir,nabil-fekir,203496,Attacking Midfield
23,Marcelo Brozovic,marcelo-brozovic,156617,Defensive Midfield
24,Isco,isco,85288,Attacking Midfield
25,Toni Kroos,toni-kroos,31909,Central Midfield
26,Casemiro,casemiro,16306,Defensive Midfield
27,Declan Rice,declan-rice,357662,Defensive Midfield
28,Youri Tielemans,youri-tielemans,249565,Central Midfield
29,Mattéo Guendouzi,matteo-guendouzi,465830,Central Midfield
30,Nicolò Zaniolo,nicolo-zaniolo,392085,Attacking Midfield
31,Carlos Soler,carlos-soler,372246,Right Midfield
32,Giovani Lo Celso,giovani-lo-celso,348795,Central Midfield
33,Donny van de Beek,donny-van-de-beek,288255,Attacking Midfield
34,Thomas,thomas,230784,Defensive Midfield
35,Rúben Neves,ruben-neves,225161,Defensive Midfield
36,Leon Goretzka,leon-goretzka,153084,Central Midfield
37,Allan,allan,126422,Central Midfield
38,James Rodríguez,james-rodriguez,88103,Attacking Midfield
39,Sergi Roberto,sergi-roberto,85370,Central Midfield
40,Sergio Busquets,sergio-busquets,65230,Defensive Midfield
41,Ilkay Gündogan,ilkay-gundogan,53622,Central Midfield
42,Georginio Wijnaldum,georginio-wijnaldum,49499,Central Midfield
43,Marco Reus,marco-reus,35207,Attacking Midfield
44,Houssem Aouar,houssem-aouar,395693,Central Midfield
45,Mason Mount,mason-mount,346483,Attacking Midfield
46,Lucas Torreira,lucas-torreira,318077,Defensive Midfield
47,Wilfred Ndidi,wilfred-ndidi,274839,Defensive Midfield
48,Nicolò Barella,nicolo-barella,255942,Central Midfield
49,Mateo Kovacic,mateo-kovacic,51471,Central Midfield
50,Naby Keïta,naby-keita,302215,Central Midfield
51,Rodrigo Bentancur,rodrigo-bentancur,354362,Central Midfield
52,Dani Ceballos,dani-ceballos,319745,Central Midfield
53,Lorenzo Pellegrini,lorenzo-pellegrini,286297,Central Midfield
54,Harry Winks,harry-winks,249126,Central Midfield
55,Corentin Tolisso,corentin-tolisso,190393,Central Midfield
56,Piotr Zielinski,piotr-zielinski,181136,Central Midfield
57,Luis Alberto,luis-alberto,128220,Attacking Midfield
58,Aaron Ramsey,aaron-ramsey,50057,Central Midfield
59,Filip Kostic,filip-kostic,161011,Left Midfield
60,Ryan Sessegnon,ryan-sessegnon,392775,Left Midfield
61,Jack Grealish,jack-grealish,203460,Attacking Midfield
62,Tiemoué Bakayoko,tiemoue-bakayoko,182618,Defensive Midfield
63,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,143424,Central Midfield
64,Julian Draxler,julian-draxler,85148,Central Midfield
65,Jordan Henderson,jordan-henderson,61651,Central Midfield
66,Paulinho,paulinho,57229,Central Midfield
67,Ivan Rakitic,ivan-rakitic,32467,Central Midfield
68,Lucas Paquetá,lucas-paqueta,444523,Attacking Midfield
69,Adrien Rabiot,adrien-rabiot,182913,Central Midfield
70,Kerem Demirbay,kerem-demirbay,125858,Central Midfield
71,Axel Witsel,axel-witsel,35047,Defensive Midfield
72,Phil Foden,phil-foden,406635,Central Midfield
